#{"t_start": 1733096099.8957553, "env_id": "None"}
r,l,t
-0.7006813,18,7186.159191
-0.7006813,18,7186.1592
-0.7006813,18,7186.159207
-0.7006813,18,7186.159214
-0.7006813,18,7186.15922
-0.7006813,18,7186.159227
-0.7006813,18,7186.159233
-0.7142253,18,7187.163907
-0.7142253,18,7187.167189
-0.7142253,18,7187.167205
-0.7142253,18,7187.167212
-0.7142253,18,7187.167219
-0.7142253,18,7187.167225
-0.7142253,18,7187.167232
-0.7142253,18,7187.167238
-1.0988452,31,7188.413128
-1.0988452,31,7188.413174
-1.0988452,31,7188.413184
-1.0988452,31,7188.413191
-1.0988452,31,7188.413198
-1.0988452,31,7188.413205
-1.0988452,31,7188.413211
-1.0988452,31,7188.413218
0.008899212,6,7492.935934
0.008899212,6,7492.935984
0.008899212,6,7492.935994
0.008899212,6,7492.936001
0.008899212,6,7492.936008
0.008899212,6,7492.936014
0.008899212,6,7492.936021
0.008899212,6,7492.936027
-3.3059382,90,7495.551178
-3.3059382,90,7495.551224
-3.3059382,90,7495.551233
-3.3059382,90,7495.55124
-3.3059382,90,7495.551247
-3.3059382,90,7495.551254
-3.3059382,90,7495.55126
-3.3059382,90,7495.551266
-0.051703334,7,7496.355981
-0.051703334,7,7496.356033
-0.051703334,7,7496.356043
-0.051703334,7,7496.35605
-0.051703334,7,7496.356057
-0.051703334,7,7496.356064
-0.051703334,7,7496.356071
-0.051703334,7,7496.356077
-2.2437088,58,7839.091796
-2.2437088,58,7839.091845
-2.2437088,58,7839.091855
-2.2437088,58,7839.091861
-2.2437088,58,7839.091868
-2.2437088,58,7839.091875
-2.2437088,58,7839.091881
-2.2437088,58,7839.091887
-0.047629714,7,7839.863876
-0.047629714,7,7839.863925
-0.047629714,7,7839.863935
-0.047629714,7,7839.863942
-0.047629714,7,7839.863949
-0.047629714,7,7839.863955
-0.047629714,7,7839.863962
-0.047629714,7,7839.863969
-2.2342877,59,7841.764445
-2.2342877,59,7841.764493
-2.2342877,59,7841.764503
-2.2342877,59,7841.76451
-2.2342877,59,7841.764517
-2.2342877,59,7841.764524
-2.2342877,59,7841.764531
-2.2342877,59,7841.764539
-0.04565358,7,8282.678899
-0.04565358,7,8282.678948
-0.04565358,7,8282.678957
-0.04565358,7,8282.678965
-0.04565358,7,8282.678972
-0.04565358,7,8282.678978
-0.04565358,7,8282.678984
-0.04565358,7,8282.678991
-1.5698886,42,8284.198607
-1.5698886,42,8284.198653
-1.5698886,42,8284.198663
-1.5698886,42,8284.19867
-1.5698886,42,8284.198677
-1.5698886,42,8284.198684
-1.5698886,42,8284.19869
-1.5698886,42,8284.198697
-0.05937469,7,8285.000084
-0.05937469,7,8285.000133
-0.05937469,7,8285.000142
-0.05937469,7,8285.000149
