time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,rollout/success_rate,train/approx_kl,train/explained_variance,train/std,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,train/entropy_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
450000,,,,,,,23.911587,0.5634803175926208,0.009988502599298954,0.44043052196502686,0.0004,0.49609375,0.3083898574113846,28.68635845184326,109,0.2,0.11125453747808933,0.0,349.73968505859375,512.0
450560,250,1800,347.1356201171875,110,512.0,0.0,,,,,,,,,,,,,,
454656,250,1814,347.3426208496094,111,512.0,0.0,27.520063,0.6266793608665466,0.00998822320252657,0.23023556172847748,0.0004,0.5,0.14386329427361488,28.68663215637207,110,0.2,0.07250838167965412,,,
458752,250,1829,346.2616271972656,112,512.0,0.0,14.329751,0.7225222587585449,0.009987974539399147,0.31540724635124207,0.0004,0.5,0.27199751138687134,28.68687152862549,111,0.2,0.11670994479209185,,,
462848,251,1843,348.1484069824219,113,512.0,0.0,23.120106,0.7461016178131104,0.009987786412239075,0.29257044196128845,0.0004,0.5,0.25475089251995087,28.6870698928833,112,0.2,0.09001053404062986,,,
466944,251,1858,349.050537109375,114,512.0,0.0,17.2703,0.7327795028686523,0.009987576864659786,0.30343103408813477,0.0004,0.5,0.14898354560136795,28.687249183654785,113,0.2,0.12461059913039207,,,
471040,251,1873,349.1653137207031,115,512.0,0.0,46.60976,0.8162485510110855,0.00998740829527378,0.2848230004310608,0.0004,0.5,0.16259147226810455,28.687419891357422,114,0.2,0.10559453908354044,,,
475136,251,1887,348.4666748046875,116,512.0,0.0,42.804565,0.5474141240119934,0.009987260214984417,0.29676735401153564,0.0004,0.5,0.1756349578499794,28.6875638961792,115,0.2,0.100697485730052,,,
479232,251,1902,348.8558349609375,117,512.0,0.0,36.481915,0.4686949849128723,0.009987306781113148,0.3533748984336853,0.0004,0.5,0.26840364933013916,28.68761157989502,116,0.2,0.08281652303412557,,,
483328,252,1916,348.12078857421875,118,512.0,0.0,23.998363,-0.1706629991531372,0.009987452067434788,0.2865065038204193,0.0004,0.5,0.2266146019101143,28.68752670288086,117,0.2,0.08703793352469802,,,
487424,252,1931,351.06463623046875,119,512.0,0.0,18.005661,0.014420509338378906,0.009987734258174896,0.27313292026519775,0.0004,0.5,0.1951020061969757,28.687335968017578,118,0.2,0.0794035162543878,,,
491520,252,1945,351.1930847167969,120,512.0,0.0,16.36607,0.4522201418876648,0.009987874887883663,0.2652880549430847,0.0004,0.5,0.18428527563810349,28.68714714050293,119,0.2,0.07919675298035145,,,
495616,252,1959,350.67120361328125,121,512.0,0.0,12.752558,0.050515592098236084,0.009987900964915752,0.2582389712333679,0.0004,0.5,0.1639004945755005,28.687074661254883,120,0.2,0.07403542101383209,,,
499712,253,1974,350.6863708496094,122,512.0,0.0,7.88267,-0.4372035264968872,0.00998802948743105,0.5090184807777405,0.0004,0.498046875,0.4681054353713989,28.6870059967041,121,0.2,0.12856596894562244,,,
500000,,,,,,,8.060835,-0.2125413417816162,0.009988142177462578,0.3115447759628296,0.0004,0.5,0.3017857223749161,28.68689727783203,122,0.2,0.09107084665447474,0.0,359.81268310546875,512.0
503808,249,2016,351.9288024902344,123,512.0,0.0,,,,,,,,,,,,,,
507904,250,2031,352.203369140625,124,512.0,0.0,11.269719,0.37841856479644775,0.009988301433622837,0.34854570031166077,0.0004,0.5,0.26988162100315094,28.686777114868164,123,0.2,0.08791380189359188,,,
512000,250,2045,351.9052734375,125,512.0,0.0,8.38492,0.1341748833656311,0.009988397359848022,0.4030725657939911,0.0004,0.49609375,0.35692526400089264,28.68666362762451,124,0.2,0.10334746912121773,,,
